Date,Open,High,Low,Close,Volume,Regime,Return,Price_MA20,Price_MA50,Price_MA200,Golden_Cross,Price_52w_position,RSI14,RSI7,MACD,MACD_signal,MACD_hist,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Return_lag10,Cum_return_5d,Cum_return_10d,Cum_return_20d,Vol_10d,Vol_20d,Vol_60d,BB_width,BB_position,ATR14_pct,Vol_ratio,Rel_Volume,OBV_MA20,Corr_SP500_BTC,Corr_SP500_Gold,Corr_BTC_Gold,RF_pred,XGB_pred,RF_proba,XGB_proba
2024-01-26,4888.91015625,4906.68994140625,4881.47021484375,4890.97021484375,3353400000,1.0,-0.0006517852510764,1.0216237629845542,1.043550030309259,1.105946863342408,1,0.9969280229620056,81.26188791518075,97.9828388463308,56.64142032857399,50.74592198107896,5.895498347495028,0.0052603655277063,0.0008119284117831,0.002921374261968,0.0123135027649361,-0.0006710555783868,0.0105706950542736,0.0231641036934684,0.0228774034799073,0.0054173646512756,0.0058238627099196,0.0063877724041591,0.0517264883147521,0.9180404216303064,0.0083177963148396,0.8480835428244731,0.8882544676611829,543509576500.0,0.0059109095647079,0.0923769994615978,-0.19474096973105,1.0,1.0,1.0,0.999772
2024-01-29,4892.9501953125,4929.31005859375,4887.39990234375,4927.93017578125,3525160000,1.0,0.0075567748961808,1.0277919868945635,1.0495001690946717,1.1132520537232395,1,1.0,79.30198351567056,97.92010238712264,60.22851008591897,52.64243960204696,7.586070483872007,-0.0006517852510764,0.0052603655277063,0.0008119284117831,0.002194325202627,0.0007509755941104,0.0159779642611839,0.0301223277798217,0.0302256943717837,0.0056239005894326,0.0059926265158439,0.0064001398273717,0.0578929285916954,0.980058403860924,0.0078873982231072,0.8787152689040643,0.9236425919562372,543989386000.0,0.0170490111235415,0.1052292407299671,-0.185893337277726,1.0,1.0,1.0,0.9997392
2024-01-30,4925.89013671875,4931.08984375,4916.27001953125,4924.97021484375,3836130000,1.0,-0.0006006499345398,1.0255155263892086,1.0469874608563012,1.1116055841054695,1,0.9972392806372334,80.47247182179326,93.68981653122776,62.116421016620734,54.53723588496172,7.579185131659017,0.0075567748961808,-0.0006517852510764,0.0052603655277063,0.002921374261968,-0.0037313402367431,0.0124100883886808,0.03335940038073,0.0325252963266433,0.0052853403016283,0.00592823454525,0.0063311463272932,0.0624030958123586,0.9088823808666772,0.0075977163624128,0.8348156918824549,0.9958573116709692,544433692000.0,0.0065224760270832,0.1128533402959812,-0.1836485626239401,1.0,1.0,1.0,0.9997392
2024-01-31,4899.18994140625,4906.75,4845.14990234375,4845.64990234375,4696120000,1.0,-0.0161057446115979,1.0079198599439143,1.0286492664344136,1.0928291586910153,1,0.923258195344804,59.45858449054995,48.561546418412206,56.56012777410342,54.94181426279006,1.6183135113133602,-0.0006006499345398,0.0075567748961808,-0.0006517852510764,0.0008119284117831,-0.0056168971839904,-0.0047036393304842,0.0224594272639473,0.0216790023098192,0.0077278105830217,0.0069715203404772,0.0064110767292699,0.0616860876864322,0.6283897267755603,0.0083886739298412,1.205384198217478,1.2042131510511658,544830344500.0,0.0509822481335427,0.0507463071267015,-0.1855247099233439,1.0,1.0,1.0,0.99980265
2024-02-01,4861.10986328125,4906.97021484375,4853.52001953125,4906.18994140625,4386090000,1.0,0.0124936882116097,1.0183796000785097,1.0397696519428652,1.1055415649478453,1,0.9797231493058696,66.30922046801004,59.78445166359572,56.391751537526034,55.231801717737255,1.1599498197887783,-0.0161057446115979,-0.0006006499345398,0.0075567748961808,0.0052603655277063,0.008805260963896,0.0024579876367323,0.0261977773272674,0.0428029782933878,0.0081518151469862,0.0070683815447313,0.0064842017352402,0.0607074815133976,0.8027567545270928,0.0083201086728498,1.257180988475858,1.1184702415499344,545643839500.0,0.0644831939598367,0.0501531855103071,-0.1831051053366132,1.0,1.0,1.0,0.99980265
2024-02-02,4916.06005859375,4975.2900390625,4907.990234375,4958.60986328125,3974350000,1.0,0.0106844460775146,1.0263850350289696,1.0490504769752114,1.116342751318662,1,1.0,70.09145721986665,67.25285251127627,59.7988379799508,56.145208970179965,3.653629009770839,0.0124936882116097,-0.0161057446115979,-0.0006006499345398,-0.0006517852510764,0.0123135027649361,0.0138294950625992,0.0245463774919338,0.0575705054258732,0.0079503507757266,0.0071885932150662,0.006580334845157,0.06041762470671,0.9367108961507926,0.0087461241481538,1.2081985131163815,1.0101408036164634,546841826000.0,0.0630017250472344,0.0257681095803434,-0.1830858839191965,1.0,1.0,1.0,0.99977344
2024-02-05,4957.18994140625,4957.18994140625,4918.08984375,4942.81005859375,4023640000,1.0,-0.0031863375266721,1.0205209404853228,1.043920614201923,1.1117991544765715,1,0.9856736575363056,70.42341529438303,59.68388743422421,60.52635618079694,57.02143841230336,3.504917768493577,0.0106844460775146,0.0124936882116097,-0.0161057446115979,0.0075567748961808,0.002194325202627,0.0030194995224628,0.0190457092391034,0.0522795965217282,0.0081496429736993,0.0073116523359952,0.0066154426517563,0.0576853862756576,0.8557389801857377,0.0088291405074433,1.231911967604419,1.020344041902767,547646412000.0,0.0627684267715802,0.0365102725940808,-0.1787144829286632,1.0,1.0,1.0,0.9997899
2024-02-06,4950.16015625,4957.77001953125,4934.8798828125,4954.22998046875,4440880000,1.0,0.0023104108269635,1.0208691342427585,1.0445781279443629,1.113335563476347,1,0.9960285774182788,75.74719673325436,62.1925419543302,61.31758094720499,57.88066691928369,3.436914027921297,-0.0031863375266721,0.0106844460775146,0.0124936882116097,-0.0006006499345398,0.002921374261968,0.00594110509274,0.0184249231207478,0.0400311406732249,0.0081435763384028,0.0067890086986019,0.0066141124613277,0.0588255391856854,0.8547631612331511,0.0084012000984289,1.2312424964071402,1.1162637309050527,548485926000.0,0.0631846355314101,0.0343618889231779,-0.1763498800630356,1.0,1.0,1.0,0.99978405
2024-02-07,4973.0498046875,4999.89013671875,4969.0498046875,4995.06005859375,4895590000,1.0,0.00824145796339,1.0267589284183665,1.051255403522281,1.1214254817846,1,1.0,75.69481554399287,62.74827620739664,64.49581078900974,59.2036956932289,5.2921150957808365,0.0023104108269635,-0.0031863375266721,0.0106844460775146,-0.0161057446115979,0.0008119284117831,0.0308338735280344,0.0259852027773126,0.0501545377049832,0.008373272669916,0.0068752947668651,0.0065246744606853,0.061071852130394,0.9381548534214036,0.0083193731820504,1.28332420573156,1.2097959669843348,549746717500.0,0.1018497299816672,0.0529653034576883,-0.1883026549463401,1.0,1.0,0.9973684966944524,0.9997514
2024-02-08,4995.16015625,5000.39990234375,4987.08984375,4997.91015625,4341860000,1.0,0.0005705832608251,1.0250853232118045,1.049877762412063,1.1209820801463757,1,1.0,71.91937080197295,63.85741558795755,66.47824012723049,60.65860458002922,5.819635547201273,0.00824145796339,0.0023104108269635,-0.0031863375266721,0.0124936882116097,0.0052603655277063,0.0186947949303122,0.0211987341418542,0.0448337397027065,0.0083389934236294,0.0068450637772165,0.0062906355067637,0.0634343931518212,0.8954530336842068,0.0076312029972348,1.3256201880816845,1.0618953045569666,551049668000.0,0.085398244667069,0.133341834951883,-0.1809364005379224,1.0,1.0,0.9936302361799568,0.99975806
